Country,Year,Acts against computer systems (number),Attempted intentional homicide (number),Bribery (number),Burglary (number),Child pornography (number),Corruption (number),Fraud (number),Intentional homicide (number),Kidnapping (number),Money laundering (number),Participation in an organized criminal group (number),Robbery (number),Sexual exploitation (number),Sexual violence (number),Theft (number),Unlawful acts involving controlled drugs or precursors (number),Total Crimes number,Acts against computer systems (per100k),Attempted intentional homicide (per100k),Bribery (per100k),Burglary (per100k),Child pornography (per100k),Corruption (per100k),Fraud (per100k),Intentional homicide (per100k),Kidnapping (per100k),Money laundering (per100k),Participation in an organized criminal group (per100k),Robbery (per100k),Sexual exploitation (per100k),Sexual violence (per100k),Theft (per100k),Unlawful acts involving controlled drugs or precursors (per100k),Total Crimes per100k,Migration Data
Netherlands,2016,,,,84605.0,,6905.0,62999.0,108.0,420.0,610.0,,8980.0,455.0,4735.0,304055.0,12450.0,486322.0,,,,498.29,,40.67,371.04,0.64,2.47,3.59,,52.89,2.68,27.89,1790.76,73.33,2864.25,182160.0
Netherlands,2017,2320.0,,,74695.0,,6740.0,,158.0,400.0,700.0,,7975.0,430.0,4805.0,259095.0,11720.0,369038.0,13.58,,,437.29,,39.46,,0.92,2.34,4.1,,46.69,2.52,28.13,1516.82,68.61,2160.46,183856.0
Netherlands,2018,2945.0,,,63100.0,,6630.0,,119.0,425.0,901.0,,7785.0,460.0,5155.0,233985.0,12480.0,333985.0,17.14,,,367.26,,38.59,,0.69,2.47,5.24,,45.31,2.68,30.0,1361.88,72.64,1943.9,191005.0
Netherlands,2019,4865.0,,,58950.0,,6605.0,,125.0,510.0,1380.0,,8590.0,570.0,4300.0,233860.0,13925.0,333680.0,28.15,,,341.1,,38.22,,0.72,2.95,7.99,,49.7,3.3,24.88,1353.19,80.57,1930.77,215228.0
Netherlands,2020,,,,49845.0,,5890.0,,121.0,520.0,1945.0,,7305.0,465.0,4020.0,204740.0,12800.0,287651.0,,,,286.34,,33.84,,0.7,2.99,11.17,,41.96,2.67,23.09,1176.15,73.53,1652.44,170612.0
Netherlands,2021,,,,37185.0,,5285.0,,126.0,455.0,2480.0,,5545.0,490.0,4665.0,183955.0,11595.0,251781.0,,,,212.78,,30.24,,0.72,2.6,14.19,,31.73,2.8,26.69,1052.65,66.35,1440.75,208056.0
Netherlands,2022,,,,37315.0,,5415.0,,142.0,,1535.0,,5955.0,505.0,5835.0,233055.0,11705.0,301462.0,,,,212.13,,30.78,,0.81,,8.73,,33.85,2.87,33.17,1324.88,66.54,1713.76,359331.0
Norway,2012,,50.0,,17391.0,,,,27.0,,,,1484.0,,3576.0,155365.0,44148.0,222041.0,,1.0,,348.81,,,,0.54,,,,29.76,,71.72,3116.11,885.46,4453.4,70012.0
Norway,2013,,57.0,,15740.0,,,,47.0,,,,1667.0,,3526.0,145940.0,47286.0,214263.0,,1.13,,311.6,,,,0.93,,,,33.0,,69.8,2889.17,936.12,4241.75,66934.0
Norway,2014,,60.0,,14890.0,,,,29.0,,,,1063.0,,3746.0,132018.0,45368.0,197174.0,,1.17,,291.51,,,,0.57,,,,20.81,,73.34,2584.55,888.18,3860.13,61429.0
Norway,2015,,61.0,,,,,,24.0,,,,930.0,,4359.0,114828.0,41598.0,161800.0,,1.18,,,,,,0.46,,,,18.0,,84.37,2222.55,805.15,3131.71,59068.0
Norway,2016,,41.0,,,412.0,46.0,21361.0,27.0,,114.0,,810.0,571.0,5560.0,104507.0,36184.0,169633.0,,0.79,,,7.9,0.88,409.94,0.52,,2.19,,15.54,10.96,106.7,2005.61,694.41,3255.4399999999996,58508.0
Norway,2017,,49.0,,,909.0,82.0,19875.0,28.0,,116.0,,781.0,1106.0,5635.0,94179.0,33585.0,156345.0,,0.93,,,17.29,1.56,377.97,0.53,,2.21,,14.85,21.03,107.16,1791.05,638.7,2973.2799999999997,49774.0
Norway,2018,,70.0,,,1239.0,36.0,22532.0,25.0,,94.0,,788.0,1471.0,5796.0,92320.0,31633.0,156004.0,,1.32,,,23.4,0.68,425.48,0.47,,1.78,,14.88,27.78,109.45,1743.33,597.34,2945.91,44406.0
Norway,2019,,68.0,,,852.0,47.0,21032.0,28.0,,140.0,,881.0,1044.0,5065.0,94544.0,28793.0,152494.0,,1.28,,,15.99,0.88,394.73,0.53,,2.63,,16.53,19.59,95.06,1774.4,540.39,2862.01,44570.0
Norway,2020,,87.0,,,1054.0,40.0,18998.0,31.0,,157.0,,958.0,1259.0,5060.0,86519.0,25798.0,139961.0,,1.62,,,19.64,0.75,353.94,0.58,,2.92,,17.85,23.46,94.27,1611.88,480.63,2607.54,30818.0
Norway,2021,,83.0,,,1510.0,31.0,18928.0,29.0,,184.0,,766.0,1744.0,5775.0,79133.0,17518.0,125701.0,,1.54,,,28.01,0.57,351.08,0.54,,3.41,,14.21,32.35,107.12,1467.77,324.93,2331.5299999999997,46604.0
Norway,2022,,77.0,,,,41.0,23048.0,30.0,,188.0,,904.0,1749.0,5179.0,99312.0,14954.0,145482.0,,1.42,,,,0.76,424.83,0.55,,3.47,,16.66,32.24,95.46,1830.54,275.64,2681.57,83281.0
Poland,2012,,201.0,,127961.0,,,,377.0,316.0,,,16685.0,,,230751.0,76358.0,452649.0,,0.53,,336.18,,,,0.99,0.83,,,43.83,,,606.22,200.6,1189.18,47131.0
Poland,2013,,233.0,,118534.0,,,,296.0,445.0,,,19533.0,,3055.0,212143.0,71939.0,426178.0,,0.61,,311.42,,,,0.78,1.17,,,51.32,,8.03,557.35,189.0,1119.6799999999998,46614.0
Poland,2014,,210.0,,106896.0,,,,282.0,292.0,,,13868.0,,2931.0,168567.0,63806.0,356852.0,,0.55,,281.17,,,,0.74,0.77,,,36.48,,7.71,443.39,167.83,938.6400000000001,31977.0
Poland,2015,,172.0,,94680.0,,,,287.0,246.0,,,10210.0,,2755.0,145212.0,55018.0,308580.0,,0.45,,249.12,,,,0.76,0.65,,,26.86,,7.25,382.08,144.76,811.93,86087.0
Poland,2016,3130.0,170.0,6166.0,79928.0,1997.0,7092.0,108647.0,256.0,,338.0,485.0,9634.0,3071.0,3155.0,126392.0,60449.0,410910.0,8.24,0.45,16.24,210.52,5.26,18.68,286.16,0.67,,0.89,1.28,25.37,8.09,8.31,332.9,159.21,1082.27,107038.0
Poland,2017,2873.0,221.0,5013.0,67712.0,1927.0,7417.0,129038.0,278.0,,371.0,576.0,8114.0,3292.0,3221.0,106923.0,64652.0,401628.0,7.57,0.58,13.2,178.32,5.07,19.53,339.82,0.73,,0.98,1.52,21.37,8.67,8.48,281.58,170.26,1057.68,127997.0
Poland,2018,2852.0,230.0,8989.0,69148.0,3490.0,10036.0,117430.0,265.0,,479.0,457.0,6801.0,4681.0,3328.0,98833.0,60073.0,387092.0,7.51,0.61,23.67,182.08,9.19,26.43,309.22,0.7,,1.26,1.2,17.91,12.33,8.76,260.25,158.18,1019.3000000000001,137588.0
Poland,2019,5540.0,293.0,4085.0,71392.0,13615.0,6241.0,140031.0,205.0,,1290.0,493.0,6473.0,14709.0,3560.0,102585.0,66831.0,437343.0,14.59,0.77,10.76,188.01,35.85,16.44,368.77,0.54,,3.4,1.3,17.05,38.74,9.38,270.15,176.0,1151.75,163235.0
Poland,2020,6115.0,329.0,5065.0,74502.0,5367.0,7505.0,138187.0,261.0,,649.0,872.0,5288.0,6539.0,2939.0,98519.0,66550.0,418687.0,16.11,0.87,13.34,196.27,14.14,19.77,364.05,0.69,,1.71,2.3,13.93,17.23,7.74,259.55,175.32,1103.02,163512.0
Poland,2021,6171.0,314.0,4957.0,73474.0,4005.0,6109.0,176910.0,265.0,,849.0,896.0,4874.0,5680.0,3214.0,108720.0,69623.0,466061.0,16.31,0.83,13.1,194.17,10.58,16.14,467.52,0.7,,2.24,2.37,12.88,15.01,8.49,287.32,183.99,1231.65,224206.0
Poland,2022,7290.0,239.0,3072.0,70256.0,,5373.0,174543.0,258.0,,1055.0,1083.0,4832.0,5436.0,3372.0,120901.0,70106.0,467816.0,19.36,0.63,8.16,186.58,,14.27,463.54,0.69,,2.8,2.88,12.83,14.44,8.96,321.08,186.18,1242.4,335289.0
Portugal,2012,,,,43843.0,,,,122.0,419.0,,,18514.0,,2134.0,102271.0,4638.0,171941.0,,,,415.87,,,,1.16,3.97,,,175.61,,20.24,970.09,43.99,1630.93,38537.0
Portugal,2013,,,,38390.0,,,,144.0,432.0,,,16590.0,,2136.0,94902.0,4650.0,157244.0,,,,366.06,,,,1.37,4.12,,,158.19,,20.37,904.92,44.34,1499.37,33246.0
Portugal,2014,,,,34612.0,,,,92.0,376.0,,,15594.0,,2331.0,91041.0,4751.0,148797.0,,,,331.94,,,,0.88,3.61,,,149.55,,22.35,873.1,45.56,1426.9900000000002,35265.0
Portugal,2015,,,,29386.0,,,,100.0,369.0,,,15472.0,,2445.0,98434.0,5298.0,151504.0,,,,283.24,,,,0.96,3.56,,,149.13,,23.57,948.78,51.07,1460.31,37851.0
Portugal,2016,801.0,,69.0,26193.0,,152.0,19482.0,66.0,296.0,18.0,10.0,13313.0,,2473.0,89305.0,5746.0,157924.0,7.75,,0.67,253.28,,1.47,188.39,0.64,2.86,0.17,0.1,128.74,,23.91,863.57,55.56,1527.1100000000001,46921.0
Portugal,2017,976.0,,84.0,22873.0,,176.0,22933.0,76.0,292.0,25.0,10.0,11885.0,,2538.0,88541.0,6481.0,156890.0,9.47,,0.81,221.86,,1.71,222.44,0.74,2.83,0.24,0.1,115.28,,24.62,858.82,62.86,1521.7799999999997,61413.0
Portugal,2018,924.0,,71.0,22832.0,,166.0,23917.0,81.0,273.0,31.0,6.0,10545.0,158.0,2463.0,87569.0,6540.0,155576.0,8.98,,0.69,221.86,,1.61,232.41,0.79,2.65,0.3,0.06,102.47,1.54,23.93,850.93,63.55,1511.7699999999998,93154.0
Portugal,2019,1319.0,,70.0,21432.0,,170.0,30976.0,73.0,338.0,36.0,8.0,10926.0,261.0,2701.0,82120.0,5749.0,156179.0,12.83,,0.68,208.55,,1.65,301.42,0.71,3.29,0.35,0.08,106.32,2.54,26.28,799.1,55.94,1519.7400000000002,129155.0
Portugal,2020,1672.0,,62.0,19133.0,,154.0,37003.0,81.0,254.0,47.0,5.0,8976.0,499.0,2434.0,65159.0,3966.0,139445.0,16.24,,0.6,185.83,,1.5,359.4,0.79,2.47,0.46,0.05,87.18,4.85,23.64,632.86,38.52,1354.3899999999999,118124.0
Portugal,2021,1496.0,,100.0,16406.0,,212.0,40205.0,82.0,229.0,51.0,3.0,7894.0,473.0,2719.0,63954.0,4441.0,138265.0,14.53,,0.97,159.31,,2.06,390.41,0.8,2.22,0.5,0.03,76.65,4.59,26.4,621.02,43.12,1342.6100000000001,111311.0
Portugal,2022,2219.0,,56.0,16941.0,,175.0,44668.0,75.0,250.0,49.0,6.0,8808.0,409.0,3024.0,73365.0,6459.0,156504.0,21.44,,0.54,163.65,,1.69,431.49,0.72,2.41,0.47,0.06,85.08,3.95,29.21,708.7,62.39,1511.8,143081.0
Slovenia,2012,,30.0,,14106.0,,,,14.0,4.0,,,391.0,,289.0,33905.0,1760.0,50499.0,,1.46,,686.26,,,,0.68,0.19,,,19.02,,14.06,1649.48,85.62,2456.77,12281.0
Slovenia,2013,,28.0,,15370.0,,,,12.0,4.0,,,377.0,,292.0,34942.0,1712.0,52737.0,,1.36,,746.54,,,,0.58,0.19,,,18.31,,14.18,1697.18,83.15,2561.49,11621.0
Slovenia,2014,,16.0,,13603.0,,,,17.0,5.0,,,297.0,,224.0,30103.0,1662.0,45927.0,,0.78,,659.99,,,,0.82,0.24,,,14.41,,10.86,1460.54,80.64,2228.2799999999997,11311.0
Slovenia,2015,,26.0,,10251.0,,,,20.0,3.0,,,232.0,,172.0,22798.0,1737.0,35239.0,,1.26,,496.93,,,,0.97,0.15,,,11.25,,8.33,1105.16,84.2,1708.25,12665.0
Slovenia,2016,273.0,26.0,199.0,10707.0,110.0,1159.0,4383.0,10.0,3.0,51.0,1.0,226.0,,230.0,21394.0,1437.0,40209.0,13.23,1.26,9.64,518.7,5.33,56.15,212.34,0.48,0.15,2.47,0.05,10.95,,11.14,1036.44,69.62,1947.9499999999998,13760.0
Slovenia,2017,202.0,41.0,80.0,8752.0,187.0,971.0,4002.0,19.0,1.0,,1.0,238.0,,223.0,20539.0,1624.0,36880.0,9.78,1.98,3.87,423.64,9.05,47.0,193.72,0.92,0.05,,0.05,11.52,,10.79,994.19,78.61,1785.17,15520.0
Slovenia,2018,237.0,37.0,108.0,8397.0,141.0,213.0,3907.0,9.0,6.0,,4.0,322.0,,187.0,18580.0,1517.0,33665.0,11.47,1.79,5.23,406.26,6.82,10.31,189.03,0.44,0.29,,0.19,15.58,,9.04,898.94,73.4,1628.79,24101.0
Slovenia,2019,239.0,17.0,185.0,8337.0,134.0,219.0,3978.0,14.0,11.0,59.0,5.0,314.0,153.0,241.0,26283.0,1372.0,41561.0,11.49,0.82,8.89,400.64,6.44,10.52,191.17,0.67,0.53,2.84,0.24,15.09,7.35,11.58,1263.05,65.93,1997.25,40504.0
Slovenia,2020,222.0,34.0,298.0,8281.0,150.0,312.0,3405.0,11.0,3.0,69.0,1.0,255.0,162.0,215.0,24429.0,1496.0,39343.0,10.59,1.62,14.22,395.11,7.16,14.89,162.46,0.52,0.14,3.29,0.05,12.17,7.73,10.26,1165.58,71.38,1877.17,25494.0
Slovenia,2021,167.0,22.0,187.0,4744.0,175.0,248.0,3488.0,9.0,4.0,59.0,4.0,222.0,209.0,238.0,18128.0,1418.0,29322.0,7.92,1.04,8.87,224.94,8.3,11.76,165.39,0.43,0.19,2.8,0.19,10.53,9.91,11.29,859.56,67.24,1390.36,32487.0
Slovenia,2022,215.0,27.0,191.0,5605.0,,623.0,3661.0,13.0,1.0,93.0,0.0,215.0,189.0,289.0,21548.0,1382.0,34052.0,10.2,1.28,9.06,266.0,,29.57,173.74,0.62,0.05,4.41,0.0,10.2,8.97,13.72,1022.6,65.59,1616.0100000000002,36763.0
Spain,2012,,761.0,,222701.0,,,,364.0,118.0,,,96607.0,,9008.0,165297.0,14509.0,509365.0,,1.63,,475.67,,,,0.78,0.25,,,206.34,,19.24,353.06,30.99,1087.96,272489.0
Spain,2013,,662.0,,222069.0,,,,302.0,121.0,,,86034.0,,8923.0,163464.0,14296.0,495871.0,,1.42,,475.24,,,,0.65,0.26,,,184.12,,19.1,349.82,30.59,1061.2,248350.0
Spain,2014,,725.0,,207124.0,,,,323.0,99.0,,,70855.0,,9468.0,155253.0,13411.0,457258.0,,1.56,,445.31,,,,0.69,0.21,,,152.34,,20.36,333.79,28.83,983.0899999999999,264485.0
Spain,2015,,715.0,,192243.0,,,,302.0,93.0,,,64581.0,,7496.0,205751.0,12069.0,483250.0,,1.54,,413.87,,,,0.65,0.2,,,139.03,,16.14,442.96,25.98,1040.37,290005.0
Spain,2016,,813.0,76.0,187741.0,621.0,1144.0,183005.0,294.0,94.0,262.0,1211.0,62952.0,1293.0,8726.0,163077.0,12448.0,623757.0,,1.75,0.16,404.26,1.34,2.46,394.07,0.63,0.2,0.56,2.61,135.56,2.78,18.79,351.16,26.8,1343.1299999999999,352174.0
Spain,2017,4441.0,820.0,72.0,173883.0,767.0,1127.0,214595.0,307.0,69.0,260.0,1136.0,61763.0,1433.0,9464.0,162426.0,12958.0,645521.0,9.54,1.76,0.15,373.72,1.65,2.42,461.22,0.66,0.15,0.56,2.44,132.74,3.08,20.34,349.09,27.85,1387.37,453950.0
Spain,2018,4576.0,829.0,80.0,174867.0,892.0,974.0,289182.0,289.0,81.0,272.0,1425.0,60295.0,1407.0,11612.0,168203.0,14133.0,729117.0,9.81,1.78,0.17,374.78,1.91,2.09,619.78,0.62,0.17,0.58,3.05,129.23,3.02,24.89,360.5,30.29,1562.67,559998.0
Spain,2019,5477.0,834.0,54.0,165235.0,866.0,884.0,327616.0,331.0,89.0,295.0,1165.0,65874.0,1483.0,13031.0,175850.0,16624.0,775708.0,11.67,1.78,0.12,352.04,1.85,1.88,697.99,0.71,0.19,0.63,2.48,140.35,3.16,27.76,374.65,35.42,1652.68,666022.0
Spain,2020,6243.0,980.0,47.0,133704.0,762.0,762.0,360551.0,298.0,76.0,310.0,1317.0,45263.0,1328.0,11112.0,104521.0,17112.0,684386.0,13.19,2.07,0.1,282.48,1.61,1.61,761.74,0.63,0.16,0.65,2.78,95.63,2.81,23.48,220.82,36.15,1445.9099999999999,415150.0
Spain,2021,7480.0,1034.0,139.0,127572.0,739.0,1032.0,363203.0,290.0,97.0,343.0,1668.0,53073.0,1315.0,14918.0,124302.0,18313.0,715518.0,15.78,2.18,0.29,269.15,1.56,2.18,766.27,0.61,0.2,0.72,3.52,111.97,2.77,31.47,262.25,38.64,1509.56,752309.0
Spain,2022,7240.0,1215.0,175.0,148712.0,,1395.0,438207.0,325.0,84.0,411.0,2034.0,63392.0,2008.0,16789.0,181687.0,19057.0,882731.0,15.26,2.56,0.37,313.52,,2.94,923.85,0.69,0.18,0.87,4.29,133.65,4.23,35.4,383.04,40.18,1861.03,1120474.0
Sweden,2012,,798.0,,88066.0,,,,68.0,,,,9213.0,,16174.0,408420.0,97379.0,620118.0,,8.41,,928.69,,,,0.72,,,,97.15,,170.56,4306.93,1026.89,6539.350000000001,82597.0
Sweden,2013,,728.0,,85453.0,,,,87.0,,,,8361.0,,14891.0,410762.0,99175.0,619457.0,,7.62,,894.24,,,,0.91,,,,87.5,,155.83,4298.52,1037.84,6482.46,95361.0
Sweden,2014,,792.0,,83517.0,,,,87.0,,,,8364.0,,16910.0,399432.0,98219.0,607321.0,,8.21,,865.92,,,,0.9,,,,86.72,,175.33,4141.4,1018.36,6296.84,106100.0
Sweden,2015,,838.0,,90059.0,,,,112.0,,,,8461.0,,15237.0,399646.0,96558.0,610911.0,,8.6,,923.93,,,,1.15,,,,86.8,,156.32,4100.05,990.61,6267.46,113868.0
Sweden,2016,7553.0,879.0,251.0,89055.0,1337.0,21037.0,217460.0,106.0,,1971.0,,8562.0,1757.0,17681.0,375396.0,93547.0,836592.0,76.67,8.92,2.55,904.02,13.57,213.55,2207.49,1.08,,20.01,,86.91,17.84,179.48,3810.73,949.62,8492.439999999999,142986.0
Sweden,2017,7058.0,909.0,287.0,89981.0,2751.0,21095.0,253565.0,113.0,,3137.0,,8649.0,3089.0,18874.0,360113.0,102658.0,872279.0,70.61,9.09,2.87,900.25,27.52,211.05,2536.88,1.13,,31.39,,86.53,30.9,188.83,3602.88,1027.08,8727.01,124976.0
Sweden,2018,8827.0,868.0,441.0,77914.0,915.0,21031.0,301210.0,108.0,,6787.0,,8646.0,2292.0,19272.0,334286.0,108685.0,891282.0,87.22,8.58,4.36,769.88,9.04,207.81,2976.31,1.07,,67.06,,85.43,22.65,190.43,3303.14,1073.94,8806.92,114431.0
Sweden,2019,9052.0,983.0,161.0,75450.0,1426.0,20617.0,293383.0,111.0,,6773.0,,9035.0,3314.0,19960.0,329054.0,115388.0,884707.0,88.48,9.61,1.57,737.52,13.94,201.53,2867.82,1.09,,66.21,,88.32,32.39,195.11,3216.5,1127.92,8648.01,98235.0
Sweden,2020,8949.0,1085.0,152.0,81140.0,2337.0,19791.0,278954.0,124.0,,9303.0,,8812.0,4954.0,21144.0,311038.0,126245.0,874028.0,86.65,10.51,1.47,785.66,22.63,191.63,2701.06,1.2,,90.08,,85.32,47.97,204.73,3011.72,1222.41,8463.039999999999,65789.0
Sweden,2021,11566.0,993.0,400.0,73016.0,3221.0,21281.0,258221.0,113.0,,10534.0,,7301.0,6202.0,22598.0,288987.0,120233.0,824666.0,111.43,9.57,3.85,703.48,31.03,205.03,2487.85,1.09,,101.49,,70.34,59.75,217.72,2784.26,1158.39,7945.28,74395.0
Sweden,2022,9299.0,1016.0,173.0,69327.0,,19490.0,248730.0,116.0,,14958.0,,6483.0,5116.0,20940.0,298778.0,115875.0,810301.0,88.97,9.72,1.66,663.27,,186.47,2379.66,1.11,,143.11,,62.02,48.95,200.34,2858.48,1108.6,7752.36,86513.0
Switzerland,2012,,184.0,,73714.0,,,,45.0,5.0,,,3603.0,,2581.0,215178.0,92862.0,388172.0,,2.31,,926.67,,,,0.57,0.06,,,45.29,,32.44,2705.06,1167.39,4879.79,143783.0
Switzerland,2013,,152.0,,68730.0,,,,57.0,3.0,,,3196.0,,2696.0,197389.0,97289.0,369512.0,,1.89,,854.95,,,,0.71,0.04,,,39.76,,33.54,2455.37,1210.2,4596.46,155401.0
Switzerland,2014,,132.0,,63706.0,,,,41.0,1.0,,,2367.0,,2747.0,174601.0,80986.0,324581.0,,1.62,,782.66,,,,0.5,0.01,,,29.08,,33.75,2145.07,994.96,3987.65,152106.0
Switzerland,2015,,141.0,,52569.0,,,,57.0,4.0,,,1859.0,,2710.0,157911.0,86128.0,301379.0,,1.71,,638.15,,,,0.69,0.05,,,22.57,,32.9,1916.94,1045.54,3658.55,150432.0
Switzerland,2016,,187.0,20.0,46539.0,,3749.0,16424.0,45.0,3.0,663.0,70.0,1876.0,630.0,2742.0,146359.0,83268.0,302575.0,,2.25,0.24,558.88,,45.02,197.23,0.54,0.04,7.96,0.84,22.53,7.57,32.93,1757.62,999.96,3633.6099999999997,143100.0
Switzerland,2017,,191.0,25.0,41351.0,,3389.0,14227.0,45.0,3.0,807.0,64.0,1746.0,752.0,3755.0,141504.0,80074.0,287933.0,,2.27,0.3,491.13,,40.25,168.98,0.53,0.04,9.58,0.76,20.74,8.93,44.6,1680.66,951.05,3419.8200000000006,137803.0
Switzerland,2018,,149.0,18.0,38871.0,,19.0,17520.0,50.0,8.0,1225.0,11.0,1644.0,877.0,2843.0,131546.0,76308.0,271089.0,,1.76,0.21,458.16,,0.22,206.5,0.59,0.09,14.44,0.13,19.38,10.34,33.51,1550.49,899.42,3195.2400000000002,140087.0
Switzerland,2019,,161.0,13.0,36419.0,,14.0,19101.0,46.0,5.0,1772.0,57.0,1872.0,1485.0,2734.0,132646.0,75757.0,272082.0,,1.88,0.15,426.23,,0.16,223.55,0.54,0.06,20.74,0.67,21.91,17.38,32.0,1552.41,886.61,3184.29,140554.0
Switzerland,2020,,206.0,20.0,32819.0,1553.0,21.0,20759.0,47.0,6.0,3070.0,42.0,1949.0,1669.0,2909.0,121322.0,68600.0,254992.0,,2.39,0.23,381.35,18.05,0.24,241.21,0.55,0.07,35.67,0.49,22.65,19.39,33.8,1409.73,797.12,2962.94,136962.0
Switzerland,2021,,184.0,60.0,31186.0,1468.0,60.0,24087.0,42.0,5.0,3600.0,21.0,1736.0,1570.0,3050.0,117586.0,60887.0,245542.0,,2.12,0.69,359.69,16.93,0.69,277.81,0.48,0.06,41.52,0.24,20.02,18.11,35.18,1356.19,702.25,2831.98,141549.0
Switzerland,2022,,195.0,57.0,35732.0,,57.0,25762.0,42.0,4.0,3751.0,25.0,1941.0,2006.0,3147.0,138970.0,55304.0,266993.0,,2.23,0.65,408.89,,0.65,294.8,0.48,0.05,42.92,0.29,22.21,22.96,36.01,1590.27,632.86,3055.2699999999995,162435.0
Türkiye,2012,,,,119533.0,,,,1806.0,13431.0,,,10303.0,,,239926.0,,384999.0,,,,159.97,,,,2.42,17.97,,,13.79,,,321.08,,515.23,
Türkiye,2016,,,1716.0,,,4964.0,77500.0,,,992.0,6647.0,10892.0,,,,,102711.0,,,2.18,,,6.3,98.42,,,1.26,8.44,13.83,,,,,130.43,273869.0
Türkiye,2017,,,,,,,,,,,,12171.0,,,,,12171.0,,,,,,,,,,,,15.25,,,,,15.25,364561.0
Türkiye,2018,,,,120400.0,,,,1960.0,,,,10993.0,,,250668.0,,384021.0,,,,148.99,,,,2.43,,,,13.6,,,310.19,,475.21000000000004,466890.0
Türkiye,2019,,,,103663.0,,,,1839.0,,,,10897.0,,,216670.0,,333069.0,,,,126.41,,,,2.24,,,,13.29,,,264.22,,406.16,578488.0
Türkiye,2020,,,,95767.0,,,,1962.0,,,,11243.0,,,198115.0,,307087.0,,,,115.17,,,,2.36,,,,13.52,,,238.25,,369.3,242496.0
Türkiye,2021,,,,95471.0,,,,1967.0,,,,13228.0,,,210246.0,,320912.0,,,,114.18,,,,2.35,,,,15.82,,,251.45,,383.79999999999995,615095.0
Türkiye,2022,,,,107549.0,,,,2084.0,,,,15678.0,,,242527.0,,367838.0,,,,127.01,,,,2.46,,,,18.51,,,286.4,,434.38,399643.0
